name,type,type_multiplier,priority,priority_multiplier,stack,estimated_hours,complexity_points
Task_1,Bug,1.5,Critical,1.5,DS,15,5
Task_2,Critical Bug,2.5,Critical,1.5,DS,15,5
Task_3,Planned Task,1.0,Low,0.25,BE,22,8
Task_4,Unplanned Task,1.25,Low,0.25,FE,3,1
Task_5,Technical Debt,1.25,Medium,0.5,FE,3,2
Task_6,Spike,1.0,Medium,0.5,BE,20,5
Task_7,Critical Bug,2.5,Disaster,2.0,BE,13,5
Task_8,Planned Task,1.0,High,1.0,DS,23,5
Task_9,Spike,1.0,Medium,0.5,DE,10,3
Task_10,Planned Task,1.0,Medium,0.5,DB,5,3
Task_11,Planned Task,1.0,Low,0.25,MO,5,1
Task_12,Planned Task,1.0,Low,0.25,BE,7,3
Task_13,Bug,1.5,High,1.0,DE,11,3
Task_14,Critical Bug,2.5,Disaster,2.0,BE,2,1
Task_15,Planned Task,1.0,Low,0.25,DB,27,8
Task_16,Spike,1.0,Medium,0.5,BE,8,2
Task_17,Planned Task,1.0,High,1.0,DE,11,3
Task_18,Planned Task,1.0,High,1.0,FE,26,8
Task_19,Technical Debt,1.25,Medium,0.5,DB,3,2
Task_20,Bug,1.5,High,1.0,BE,7,3
Task_21,Planned Task,1.0,Medium,0.5,DB,9,3
Task_22,Critical Bug,2.5,Disaster,2.0,FE,16,8
Task_23,Planned Task,1.0,Medium,0.5,DE,1,1
Task_24,Critical Bug,2.5,Disaster,2.0,DE,6,3
Task_25,Planned Task,1.0,Low,0.25,DB,4,2
Task_26,Planned Task,1.0,High,1.0,BE,25,8
Task_27,Critical Bug,2.5,Critical,1.5,BE,18,8
Task_28,Bug,1.5,Medium,0.5,BE,11,3
Task_29,Planned Task,1.0,High,1.0,DE,21,8
Task_30,Critical Bug,2.5,Disaster,2.0,BE,7,3
Task_31,Planned Task,1.0,Medium,0.5,FE,8,3
Task_32,Spike,1.0,Medium,0.5,BE,18,8
Task_33,Planned Task,1.0,Medium,0.5,BE,10,5
Task_34,Technical Debt,1.25,Medium,0.5,MO,7,2
Task_35,Planned Task,1.0,Medium,0.5,MO,9,2
Task_36,Planned Task,1.0,High,1.0,BE,17,5
Task_37,Spike,1.0,Medium,0.5,DB,3,1
Task_38,Planned Task,1.0,Medium,0.5,BE,3,1
Task_39,Planned Task,1.0,Medium,0.5,BE,22,8
Task_40,Spike,1.0,Low,0.25,FE,8,3
Task_41,Planned Task,1.0,Low,0.25,FE,7,3
Task_42,Technical Debt,1.25,Low,0.25,BE,5,2
Task_43,Critical Bug,2.5,Critical,1.5,FE,5,2
Task_44,Technical Debt,1.25,Medium,0.5,DE,16,5
Task_45,Planned Task,1.0,Low,0.25,FE,13,5
Task_46,Planned Task,1.0,High,1.0,FE,22,8
Task_47,Planned Task,1.0,Medium,0.5,BE,19,5
Task_48,Planned Task,1.0,High,1.0,DE,27,8
Task_49,Planned Task,1.0,High,1.0,DE,6,3
Task_50,Unplanned Task,1.25,Low,0.25,BE,23,8
