name,team,level,stack
A_Dev1,A,Specialist,BE
A_Dev2,A,Mid-level,BE
A_Dev3,A,Mid-level,BE
A_Dev4,A,Mid-level,BE
A_Dev5,A,Specialist,MO
A_Dev6,A,Mid-level,DB
A_Dev7,A,Senior,DS
A_Dev8,A,Mid-level,BE
B_Dev1,B,Specialist,BE
B_Dev2,B,Mid-level,BE
B_Dev3,B,Mid-level,BE
B_Dev4,B,Senior,BE
B_Dev5,B,Mid-level,DS
B_Dev6,B,Intern,FE
B_Dev7,B,Mid-level,DB
C_Dev1,C,Specialist,BE
C_Dev2,C,Mid-level,BE
C_Dev3,C,Senior,BE
C_Dev4,C,Junior,BE
C_Dev5,C,Mid-level,DS
C_Dev6,C,Specialist,MO
D_Dev1,D,Senior,BE
D_Dev2,D,Mid-level,BE
D_Dev3,D,Senior,BE
D_Dev4,D,Mid-level,DS
D_Dev5,D,Mid-level,FE
E_Dev1,E,Senior,BE
E_Dev2,E,Mid-level,BE
E_Dev3,E,Mid-level,DE
E_Dev4,E,Mid-level,FE
F_Dev1,F,Senior,BE
F_Dev2,F,Junior,BE
F_Dev3,F,Mid-level,FE
