name,type,type_multiplier,priority,priority_multiplier,stack,estimated_hours,complexity_points
Task_1,Bug,1.5,Critical,1.5,DB,7,2
Task_2,Critical Bug,2.5,Disaster,2.0,FE,5,2
Task_3,Planned Task,1.0,High,1.0,MO,22,5
Task_4,Unplanned Task,1.25,Low,0.25,FE,6,3
Task_5,Technical Debt,1.25,Medium,0.5,FE,31,8
Task_6,Spike,1.0,Medium,0.5,DS,31,8
Task_7,Planned Task,1.0,High,1.0,BE,18,5
Task_8,Spike,1.0,Low,0.25,DE,16,5
Task_9,Planned Task,1.0,Low,0.25,BE,5,1
Task_10,Bug,1.5,High,1.0,BE,17,5
Task_11,Planned Task,1.0,Low,0.25,BE,35,8
Task_12,Bug,1.5,Critical,1.5,BE,33,8
Task_13,Unplanned Task,1.25,Low,0.25,DS,29,5
Task_14,Planned Task,1.0,Low,0.25,DS,26,5
Task_15,Planned Task,1.0,Low,0.25,MO,40,8
Task_16,Critical Bug,2.5,Disaster,2.0,DE,22,5
Task_17,Planned Task,1.0,High,1.0,FE,26,8
Task_18,Planned Task,1.0,Low,0.25,DE,9,2
Task_19,Planned Task,1.0,High,1.0,BE,23,5
Task_20,Critical Bug,2.5,Critical,1.5,BE,32,8
Task_21,Planned Task,1.0,Low,0.25,DS,13,3
Task_22,Unplanned Task,1.25,Low,0.25,BE,28,8
Task_23,Planned Task,1.0,Medium,0.5,BE,36,8
Task_24,Planned Task,1.0,High,1.0,FE,13,3
Task_25,Bug,1.5,Medium,0.5,FE,27,8
Task_26,Planned Task,1.0,Low,0.25,BE,8,3
Task_27,Planned Task,1.0,Low,0.25,DS,23,5
Task_28,Unplanned Task,1.25,Low,0.25,MO,33,5
Task_29,Planned Task,1.0,High,1.0,BE,16,3
Task_30,Planned Task,1.0,Medium,0.5,FE,6,2
Task_31,Critical Bug,2.5,Disaster,2.0,BE,26,8
Task_32,Unplanned Task,1.25,High,1.0,DE,26,8
Task_33,Technical Debt,1.25,Low,0.25,FE,13,3
Task_34,Technical Debt,1.25,Low,0.25,MO,42,8
Task_35,Planned Task,1.0,Medium,0.5,BE,24,5
Task_36,Critical Bug,2.5,Disaster,2.0,BE,24,5
Task_37,Bug,1.5,Critical,1.5,FE,21,8
Task_38,Bug,1.5,Critical,1.5,BE,24,5
Task_39,Planned Task,1.0,High,1.0,BE,39,8
Task_40,Unplanned Task,1.25,Low,0.25,DE,8,3
Task_41,Planned Task,1.0,Low,0.25,BE,16,5
Task_42,Planned Task,1.0,High,1.0,FE,6,2
Task_43,Critical Bug,2.5,Disaster,2.0,BE,22,5
Task_44,Critical Bug,2.5,Disaster,2.0,BE,38,8
Task_45,Spike,1.0,Medium,0.5,BE,26,8
Task_46,Planned Task,1.0,High,1.0,BE,14,3
Task_47,Bug,1.5,High,1.0,BE,23,5
Task_48,Spike,1.0,Medium,0.5,BE,39,8
Task_49,Critical Bug,2.5,Disaster,2.0,BE,10,2
Task_50,Bug,1.5,Medium,0.5,DE,38,8
Task_51,Spike,1.0,Medium,0.5,BE,7,2
Task_52,Planned Task,1.0,Low,0.25,FE,7,3
Task_53,Planned Task,1.0,Low,0.25,BE,37,8
Task_54,Planned Task,1.0,Low,0.25,FE,25,8
Task_55,Planned Task,1.0,Medium,0.5,FE,17,5
Task_56,Unplanned Task,1.25,Low,0.25,BE,9,2
Task_57,Spike,1.0,Low,0.25,DB,6,2
Task_58,Planned Task,1.0,Medium,0.5,BE,7,2
Task_59,Planned Task,1.0,Low,0.25,BE,33,8
Task_60,Technical Debt,1.25,Medium,0.5,DB,29,8
Task_61,Critical Bug,2.5,Disaster,2.0,MO,8,2
Task_62,Planned Task,1.0,Low,0.25,BE,30,8
Task_63,Planned Task,1.0,High,1.0,FE,13,5
Task_64,Planned Task,1.0,High,1.0,FE,4,1
Task_65,Planned Task,1.0,Low,0.25,FE,31,8
Task_66,Bug,1.5,Medium,0.5,BE,28,8
Task_67,Planned Task,1.0,High,1.0,BE,37,8
Task_68,Planned Task,1.0,Medium,0.5,BE,25,8
Task_69,Critical Bug,2.5,Critical,1.5,BE,10,2
Task_70,Unplanned Task,1.25,High,1.0,DB,27,8
Task_71,Technical Debt,1.25,Medium,0.5,DB,21,8
Task_72,Planned Task,1.0,Medium,0.5,DE,29,8
Task_73,Planned Task,1.0,Medium,0.5,BE,16,5
Task_74,Unplanned Task,1.25,High,1.0,BE,20,5
Task_75,Planned Task,1.0,High,1.0,BE,20,5
