name,type,type_multiplier,priority,priority_multiplier,stack,estimated_hours,complexity_points
Task_1,Bug,1.5,Medium,0.5,DB,1,1
Task_2,Critical Bug,2.5,Disaster,2.0,DE,4,2
Task_3,Planned Task,1.0,Low,0.25,DB,3,1
Task_4,Unplanned Task,1.25,Medium,0.5,MO,5,1
Task_5,Technical Debt,1.25,Medium,0.5,BE,2,1
Task_6,Spike,1.0,Medium,0.5,FE,13,8
Task_7,Bug,1.5,Critical,1.5,FE,16,5
Task_8,Planned Task,1.0,High,1.0,BE,7,2
Task_9,Planned Task,1.0,Medium,0.5,DS,6,2
Task_10,Bug,1.5,High,1.0,BE,6,3
Task_11,Planned Task,1.0,Medium,0.5,DS,5,1
Task_12,Spike,1.0,Low,0.25,BE,11,5
Task_13,Planned Task,1.0,High,1.0,DS,13,3
Task_14,Bug,1.5,Critical,1.5,FE,5,2
Task_15,Unplanned Task,1.25,Medium,0.5,DS,18,5
Task_16,Planned Task,1.0,High,1.0,FE,6,3
Task_17,Planned Task,1.0,Low,0.25,FE,3,1
Task_18,Planned Task,1.0,Medium,0.5,BE,7,2
Task_19,Technical Debt,1.25,Low,0.25,BE,23,8
Task_20,Planned Task,1.0,Medium,0.5,DS,5,2
Task_21,Bug,1.5,Critical,1.5,BE,26,8
Task_22,Planned Task,1.0,Medium,0.5,FE,10,5
Task_23,Planned Task,1.0,Low,0.25,BE,24,8
Task_24,Unplanned Task,1.25,High,1.0,FE,12,5
Task_25,Planned Task,1.0,High,1.0,DB,9,5
Task_26,Planned Task,1.0,Low,0.25,DS,9,2
Task_27,Planned Task,1.0,Medium,0.5,BE,18,5
Task_28,Technical Debt,1.25,Medium,0.5,DB,3,1
Task_29,Planned Task,1.0,Low,0.25,FE,10,3
Task_30,Planned Task,1.0,High,1.0,BE,7,2
Task_31,Unplanned Task,1.25,High,1.0,MO,14,3
Task_32,Bug,1.5,Medium,0.5,BE,12,3
Task_33,Critical Bug,2.5,Disaster,2.0,BE,12,3
Task_34,Unplanned Task,1.25,Low,0.25,BE,16,8
Task_35,Bug,1.5,High,1.0,BE,12,3
Task_36,Critical Bug,2.5,Disaster,2.0,BE,18,8
Task_37,Unplanned Task,1.25,High,1.0,DE,19,8
Task_38,Technical Debt,1.25,Low,0.25,FE,5,2
Task_39,Technical Debt,1.25,Low,0.25,MO,8,2
Task_40,Planned Task,1.0,Medium,0.5,DB,16,5
Task_41,Critical Bug,2.5,Disaster,2.0,BE,6,3
Task_42,Bug,1.5,Critical,1.5,FE,1,1
Task_43,Unplanned Task,1.25,High,1.0,DS,5,1
Task_44,Planned Task,1.0,Low,0.25,BE,20,8
Task_45,Planned Task,1.0,Medium,0.5,MO,18,5
Task_46,Critical Bug,2.5,Critical,1.5,DE,3,1
Task_47,Planned Task,1.0,Low,0.25,BE,4,1
Task_48,Critical Bug,2.5,Disaster,2.0,DB,13,5
Task_49,Critical Bug,2.5,Critical,1.5,BE,12,5
Task_50,Planned Task,1.0,Low,0.25,BE,3,1
Task_51,Planned Task,1.0,High,1.0,BE,16,8
Task_52,Planned Task,1.0,Medium,0.5,MO,9,2
Task_53,Technical Debt,1.25,Low,0.25,BE,2,1
Task_54,Planned Task,1.0,Medium,0.5,BE,14,5
Task_55,Planned Task,1.0,High,1.0,FE,26,8
Task_56,Critical Bug,2.5,Disaster,2.0,BE,4,1
Task_57,Bug,1.5,Medium,0.5,DE,29,8
Task_58,Planned Task,1.0,High,1.0,MO,5,1
Task_59,Planned Task,1.0,High,1.0,DS,5,1
Task_60,Technical Debt,1.25,Medium,0.5,BE,23,8
Task_61,Planned Task,1.0,Medium,0.5,FE,27,8
Task_62,Planned Task,1.0,Medium,0.5,MO,9,3
Task_63,Planned Task,1.0,Medium,0.5,BE,9,3
Task_64,Technical Debt,1.25,Medium,0.5,MO,4,1
Task_65,Critical Bug,2.5,Critical,1.5,BE,7,3
Task_66,Unplanned Task,1.25,High,1.0,DS,10,3
Task_67,Planned Task,1.0,Low,0.25,BE,10,3
Task_68,Planned Task,1.0,Low,0.25,BE,25,8
Task_69,Technical Debt,1.25,Medium,0.5,BE,6,3
Task_70,Critical Bug,2.5,Disaster,2.0,DE,9,3
Task_71,Planned Task,1.0,Medium,0.5,FE,8,3
Task_72,Technical Debt,1.25,Low,0.25,BE,2,1
Task_73,Critical Bug,2.5,Disaster,2.0,DS,15,3
Task_74,Planned Task,1.0,Low,0.25,FE,15,5
Task_75,Bug,1.5,Critical,1.5,BE,4,1
Task_76,Planned Task,1.0,Medium,0.5,FE,17,8
Task_77,Planned Task,1.0,High,1.0,BE,3,1
Task_78,Planned Task,1.0,Low,0.25,FE,10,3
Task_79,Planned Task,1.0,High,1.0,DS,26,8
Task_80,Technical Debt,1.25,Medium,0.5,DS,9,2
Task_81,Technical Debt,1.25,Medium,0.5,BE,20,5
Task_82,Unplanned Task,1.25,High,1.0,BE,3,1
Task_83,Planned Task,1.0,Medium,0.5,DS,19,5
