name,type,type_multiplier,priority,priority_multiplier,stack,estimated_hours,complexity_points
Task_1,Bug,1.5,Medium,0.5,MO,4,1
Task_2,Critical Bug,2.5,Disaster,2.0,BE,25,8
Task_3,Planned Task,1.0,Medium,0.5,DS,9,2
Task_4,Unplanned Task,1.25,Low,0.25,MO,28,8
Task_5,Technical Debt,1.25,Medium,0.5,FE,15,8
Task_6,Spike,1.0,Low,0.25,BE,10,3
Task_7,Bug,1.5,Critical,1.5,BE,3,1
Task_8,Unplanned Task,1.25,High,1.0,FE,4,2
Task_9,Planned Task,1.0,High,1.0,DE,2,1
Task_10,Planned Task,1.0,Medium,0.5,DB,27,8
Task_11,Planned Task,1.0,High,1.0,DS,22,5
Task_12,Bug,1.5,Critical,1.5,BE,18,8
Task_13,Planned Task,1.0,Medium,0.5,BE,6,2
Task_14,Planned Task,1.0,High,1.0,DE,8,3
Task_15,Critical Bug,2.5,Critical,1.5,FE,1,1
Task_16,Bug,1.5,Medium,0.5,MO,18,5
Task_17,Planned Task,1.0,Medium,0.5,DS,2,1
Task_18,Technical Debt,1.25,Low,0.25,BE,6,2
Task_19,Planned Task,1.0,Low,0.25,DB,27,8
Task_20,Planned Task,1.0,Medium,0.5,BE,7,2
Task_21,Planned Task,1.0,Low,0.25,FE,7,3
Task_22,Unplanned Task,1.25,High,1.0,BE,6,2
Task_23,Bug,1.5,High,1.0,FE,27,8
Task_24,Planned Task,1.0,High,1.0,FE,14,5
Task_25,Planned Task,1.0,Medium,0.5,BE,11,3
Task_26,Planned Task,1.0,High,1.0,DS,13,5
Task_27,Planned Task,1.0,High,1.0,FE,15,5
Task_28,Planned Task,1.0,High,1.0,MO,29,8
Task_29,Planned Task,1.0,High,1.0,MO,4,1
Task_30,Planned Task,1.0,Low,0.25,DE,17,8
Task_31,Bug,1.5,Critical,1.5,BE,18,5
Task_32,Planned Task,1.0,High,1.0,FE,16,8
Task_33,Unplanned Task,1.25,Medium,0.5,FE,1,1
Task_34,Planned Task,1.0,Low,0.25,MO,23,8
Task_35,Technical Debt,1.25,Medium,0.5,FE,18,8
Task_36,Technical Debt,1.25,Medium,0.5,BE,17,5
Task_37,Bug,1.5,Medium,0.5,FE,5,2
Task_38,Planned Task,1.0,High,1.0,MO,18,5
Task_39,Bug,1.5,Medium,0.5,FE,1,1
Task_40,Planned Task,1.0,High,1.0,BE,7,2
Task_41,Unplanned Task,1.25,Low,0.25,BE,5,2
Task_42,Planned Task,1.0,Low,0.25,DB,5,2
Task_43,Planned Task,1.0,High,1.0,DS,36,8
Task_44,Planned Task,1.0,Low,0.25,BE,4,1
Task_45,Planned Task,1.0,Low,0.25,FE,6,3
Task_46,Planned Task,1.0,High,1.0,DE,15,8
Task_47,Bug,1.5,High,1.0,BE,17,5
Task_48,Planned Task,1.0,Medium,0.5,BE,20,5
Task_49,Planned Task,1.0,High,1.0,DB,10,3
Task_50,Planned Task,1.0,High,1.0,DE,5,2
Task_51,Critical Bug,2.5,Disaster,2.0,DE,20,8
