name,team,level,stack
A_Dev1,A,Senior,BE
A_Dev2,A,Intern,DE
A_Dev3,A,Specialist,DS
A_Dev4,A,Mid-level,FE
A_Dev5,A,Senior,MO
A_Dev6,A,Specialist,DB
A_Dev7,A,Mid-level,FE
A_Dev8,A,Mid-level,BE
B_Dev1,B,Mid-level,DS
B_Dev2,B,Specialist,BE
B_Dev3,B,Senior,DB
B_Dev4,B,Senior,DE
B_Dev5,B,Senior,FE
B_Dev6,B,Specialist,MO
B_Dev7,B,Mid-level,BE
C_Dev1,C,Senior,DE
C_Dev2,C,Mid-level,BE
C_Dev3,C,Mid-level,FE
C_Dev4,C,Mid-level,DS
C_Dev5,C,Senior,BE
C_Dev6,C,Junior,FE
D_Dev1,D,Senior,BE
D_Dev2,D,Specialist,DE
D_Dev3,D,Senior,DS
D_Dev4,D,Mid-level,BE
D_Dev5,D,Junior,BE
E_Dev1,E,Junior,BE
E_Dev2,E,Specialist,FE
E_Dev3,E,Senior,BE
E_Dev4,E,Mid-level,BE
F_Dev1,F,Senior,BE
F_Dev2,F,Mid-level,BE
F_Dev3,F,Mid-level,BE
