name,team,level,stack
A_Dev1,A,Specialist,BE
A_Dev2,A,Specialist,BE
A_Dev3,A,Senior,BE
A_Dev4,A,Senior,BE
A_Dev5,A,Mid-level,FE
A_Dev6,A,Mid-level,DB
A_Dev7,A,Mid-level,MO
A_Dev8,A,Mid-level,DS
B_Dev1,B,Specialist,BE
B_Dev2,B,Senior,BE
B_Dev3,B,Senior,BE
B_Dev4,B,Mid-level,BE
B_Dev5,B,Mid-level,FE
B_Dev6,B,Mid-level,MO
B_Dev7,B,Mid-level,DE
C_Dev1,C,Senior,BE
C_Dev2,C,Senior,BE
C_Dev3,C,Mid-level,BE
C_Dev4,C,Mid-level,BE
C_Dev5,C,Mid-level,FE
C_Dev6,C,Senior,DE
D_Dev1,D,Mid-level,BE
D_Dev2,D,Mid-level,BE
D_Dev3,D,Senior,FE
D_Dev4,D,Junior,DE
D_Dev5,D,Senior,DS
E_Dev1,E,Junior,BE
E_Dev2,E,Junior,BE
E_Dev3,E,Senior,FE
E_Dev4,E,Senior,DS
F_Dev1,F,Junior,BE
F_Dev2,F,Intern,BE
F_Dev3,F,Intern,FE
