name,type,type_multiplier,priority,priority_multiplier,stack,estimated_hours,complexity_points
Task_1,Bug,1.5,High,1.0,BE,2,1
Task_2,Critical Bug,2.5,Disaster,2.0,BE,26,8
Task_3,Planned Task,1.0,High,1.0,DS,15,3
Task_4,Unplanned Task,1.25,Medium,0.5,MO,5,1
Task_5,Technical Debt,1.25,Medium,0.5,MO,9,2
Task_6,Spike,1.0,Low,0.25,FE,3,1
Task_7,Critical Bug,2.5,Critical,1.5,FE,17,5
Task_8,Bug,1.5,Medium,0.5,DE,29,8
Task_9,Planned Task,1.0,High,1.0,DB,19,8
Task_10,Bug,1.5,Critical,1.5,BE,3,1
Task_11,Planned Task,1.0,Low,0.25,DB,4,2
Task_12,Bug,1.5,Critical,1.5,BE,16,5
Task_13,Technical Debt,1.25,Medium,0.5,MO,8,3
Task_14,Planned Task,1.0,Medium,0.5,DB,21,8
Task_15,Bug,1.5,Critical,1.5,BE,20,5
Task_16,Critical Bug,2.5,Critical,1.5,FE,3,2
Task_17,Planned Task,1.0,Medium,0.5,DE,4,2
Task_18,Planned Task,1.0,Low,0.25,FE,6,3
Task_19,Unplanned Task,1.25,Low,0.25,DE,1,1
Task_20,Spike,1.0,Low,0.25,BE,9,3
Task_21,Planned Task,1.0,Low,0.25,MO,28,5
Task_22,Technical Debt,1.25,Low,0.25,MO,15,5
Task_23,Planned Task,1.0,Low,0.25,MO,9,2
Task_24,Planned Task,1.0,High,1.0,DE,6,2
Task_25,Planned Task,1.0,Medium,0.5,BE,12,3
Task_26,Planned Task,1.0,Low,0.25,FE,22,8
Task_27,Planned Task,1.0,High,1.0,BE,9,3
Task_28,Critical Bug,2.5,Disaster,2.0,DS,10,2
Task_29,Critical Bug,2.5,Critical,1.5,BE,14,5
Task_30,Planned Task,1.0,Medium,0.5,DE,8,3
Task_31,Planned Task,1.0,Low,0.25,DB,8,3
Task_32,Spike,1.0,Medium,0.5,MO,14,3
Task_33,Technical Debt,1.25,Medium,0.5,DB,6,2
Task_34,Planned Task,1.0,Low,0.25,DE,16,5
Task_35,Unplanned Task,1.25,Medium,0.5,FE,1,1
Task_36,Planned Task,1.0,Low,0.25,DB,3,1
Task_37,Planned Task,1.0,Medium,0.5,DS,6,2
Task_38,Planned Task,1.0,Low,0.25,BE,30,8
Task_39,Planned Task,1.0,High,1.0,DE,2,1
Task_40,Bug,1.5,High,1.0,FE,16,5
Task_41,Critical Bug,2.5,Critical,1.5,DE,19,8
Task_42,Bug,1.5,Critical,1.5,BE,8,2
Task_43,Planned Task,1.0,Medium,0.5,DS,41,8
Task_44,Planned Task,1.0,Medium,0.5,DB,3,1
Task_45,Planned Task,1.0,Medium,0.5,DS,10,2
Task_46,Planned Task,1.0,High,1.0,BE,2,1
Task_47,Planned Task,1.0,Low,0.25,DE,9,5
Task_48,Unplanned Task,1.25,High,1.0,FE,11,5
Task_49,Unplanned Task,1.25,High,1.0,FE,12,5
Task_50,Technical Debt,1.25,Medium,0.5,FE,11,5
