name,team,level,stack
A_Dev1,A,Senior,BE
A_Dev2,A,Mid-level,BE
A_Dev3,A,Mid-level,BE
A_Dev4,A,Mid-level,BE
A_Dev5,A,Mid-level,BE
A_Dev6,A,Senior,FE
A_Dev7,A,Mid-level,DE
A_Dev8,A,Junior,DB
B_Dev1,B,Specialist,BE
B_Dev2,B,Specialist,MO
B_Dev3,B,Mid-level,BE
B_Dev4,B,Junior,BE
B_Dev5,B,Junior,FE
B_Dev6,B,Senior,BE
B_Dev7,B,Senior,FE
C_Dev1,C,Senior,BE
C_Dev2,C,Specialist,DE
C_Dev3,C,Mid-level,BE
C_Dev4,C,Mid-level,BE
C_Dev5,C,Intern,FE
C_Dev6,C,Mid-level,BE
D_Dev1,D,Senior,BE
D_Dev2,D,Mid-level,BE
D_Dev3,D,Senior,BE
D_Dev4,D,Mid-level,DE
D_Dev5,D,Mid-level,DB
E_Dev1,E,Senior,DS
E_Dev2,E,Junior,BE
E_Dev3,E,Specialist,BE
E_Dev4,E,Mid-level,DB
F_Dev1,F,Specialist,BE
F_Dev2,F,Mid-level,BE
F_Dev3,F,Senior,DB
